Product Name,Price,Rating,Category,Number of Reviews
Furniture Ultra 22,1288.19,3.0,Furniture,46
Food & Beverages Ultra 23,41.96,3.8,Food & Beverages,426
Beauty Basic 24,28.64,2.9,Beauty,328
Home & Garden Premium 25,492.83,4.7,Home & Garden,406
Sports Classic 26,204.71,3.6,Sports,69
Sports Elite 27,248.41,3.5,Sports,180
Electronics Standard 28,883.97,4.8,Electronics,433
Clothing Ultra 29,90.43,2.6,Clothing,376
Books Premium 30,41.39,4.5,Books,116
Food & Beverages Basic 31,4.25,2.3,Food & Beverages,156
Furniture Deluxe 32,1013.56,3.1,Furniture,129
Home & Garden Classic 33,85.72,2.3,Home & Garden,259
Clothing Deluxe 34,23.63,2.4,Clothing,577
Electronics Pro 35,293.95,1.9,Electronics,156
Beauty Classic 36,101.56,3.5,Beauty,391
Food & Beverages Classic 37,32.53,3.8,Food & Beverages,432
Food & Beverages Elite 38,48.34,4.6,Food & Beverages,544
Clothing Basic 39,89.68,2.7,Clothing,350
Sports Standard 40,281.28,4.3,Sports,363
Toys Pro 41,10.19,2.7,Toys,547
Toys Pro 42,82.49,4.3,Toys,25
Electronics Pro 43,808.82,4.6,Electronics,418
Home & Garden Deluxe 44,404.71,4.7,Home & Garden,366
Furniture Premium 45,418.11,2.3,Furniture,418
Home & Garden Elite 46,78.03,2.7,Home & Garden,213
Furniture Standard 47,1307.49,4.3,Furniture,309
Toys Elite 48,57.67,3.6,Toys,308
Books Classic 49,12.72,3.6,Books,244
Food & Beverages Premium 50,1.39,2.8,Food & Beverages,183
Toys Standard 51,71.01,3.7,Toys,220
Beauty Elite 52,131.12,3.3,Beauty,495
Food & Beverages Elite 53,2.37,1.8,Food & Beverages,363
Beauty Pro 54,89.13,4.1,Beauty,136
Sports Premium 55,37.52,2.2,Sports,134
Furniture Ultra 56,1782.4,4.6,Furniture,427
Clothing Elite 57,107.88,3.1,Clothing,388
Beauty Standard 58,26.08,3.7,Beauty,693
Toys Pro 59,25.19,3.1,Toys,357
Clothing Deluxe 60,75.11,3.9,Clothing,230
Furniture Classic 61,975.16,3.7,Furniture,265
Books Premium 62,26.91,4.6,Books,351
Clothing Standard 63,50.66,3.0,Clothing,175
Books Premium 64,44.01,4.5,Books,292
Home & Garden Elite 65,20.34,1.8,Home & Garden,289
Beauty Ultra 66,80.06,3.4,Beauty,150
Sports Pro 67,128.99,3.3,Sports,445
Toys Ultra 68,50.5,3.2,Toys,206
Home & Garden Standard 69,404.18,4.8,Home & Garden,485
Home & Garden Pro 70,179.39,3.3,Home & Garden,428
Sports Classic 71,173.92,3.8,Sports,312
Home & Garden Pro 72,499.26,4.2,Home & Garden,522
Automotive Premium 73,145.04,2.8,Automotive,248
Electronics Basic 74,50.25,3.0,Electronics,199
Toys Classic 75,43.79,3.3,Toys,302
Clothing Classic 76,114.2,4.5,Clothing,315
Sports Classic 77,153.31,4.2,Sports,361
Clothing Basic 78,84.56,3.3,Clothing,540
Electronics Elite 79,297.63,3.0,Electronics,307
Sports Basic 80,172.64,3.8,Sports,245
Automotive Classic 81,447.53,4.0,Automotive,153
Sports Pro 82,293.74,5.0,Sports,27
Automotive Premium 83,337.59,3.3,Automotive,66
Home & Garden Deluxe 84,365.32,3.8,Home & Garden,458
Furniture Standard 85,1378.52,3.1,Furniture,309
Clothing Deluxe 86,36.2,3.6,Clothing,160
Automotive Ultra 87,80.58,3.2,Automotive,162
Home & Garden Elite 88,309.59,2.6,Home & Garden,58
Electronics Premium 89,195.7,2.5,Electronics,282
Furniture Standard 90,895.32,3.7,Furniture,218
Clothing Elite 91,58.19,3.3,Clothing,127
Furniture Deluxe 92,865.37,4.2,Furniture,211
Sports Basic 93,54.37,3.3,Sports,378
Home & Garden Deluxe 94,491.81,4.6,Home & Garden,269
Books Ultra 95,42.07,3.9,Books,375
Sports Deluxe 96,104.88,3.0,Sports,421
Automotive Premium 97,418.23,3.6,Automotive,472
Beauty Basic 98,196.07,4.4,Beauty,256
Toys Pro 99,75.73,3.6,Toys,229
Toys Ultra 100,86.85,3.8,Toys,147
Sports Basic 1,160.93,3.8,Sports,290
Electronics Basic 2,717.21,3.4,Electronics,281
Furniture Ultra 3,1492.72,5.0,Furniture,654
Toys Standard 4,7.95,4.0,Toys,564
Clothing Ultra 5,78.45,3.6,Clothing,358
Furniture Classic 6,952.22,4.2,Furniture,206
Furniture Deluxe 7,929.02,4.5,Furniture,241
Electronics Pro 8,301.27,4.3,Electronics,163
Electronics Elite 9,248.64,2.5,Electronics,167
Automotive Premium 10,254.82,3.9,Automotive,276
Furniture Ultra 11,1563.39,4.8,Furniture,210
Electronics Premium 12,685.02,4.3,Electronics,118
Books Premium 13,37.97,4.0,Books,251
Food & Beverages Premium 14,42.69,3.1,Food & Beverages,244
Home & Garden Premium 15,434.09,4.9,Home & Garden,284
Sports Ultra 16,219.95,3.7,Sports,508
Home & Garden Premium 17,291.49,3.1,Home & Garden,203
Home & Garden Pro 18,224.78,3.7,Home & Garden,112
Food & Beverages Ultra 19,2.65,2.4,Food & Beverages,212
Automotive Pro 20,340.5,3.8,Automotive,5
Furniture Classic 21,1379.6,4.0,Furniture,383
Clothing Basic 22,118.3,5.0,Clothing,134
Sports Standard 23,187.02,4.0,Sports,529
Beauty Elite 24,112.35,4.0,Beauty,390
Food & Beverages Basic 25,36.05,4.4,Food & Beverages,542
Beauty Standard 26,142.75,3.6,Beauty,74
Electronics Ultra 27,70.29,3.1,Electronics,304
Furniture Elite 28,1717.69,4.2,Furniture,214
Beauty Ultra 29,118.26,3.6,Beauty,246
Books Elite 30,19.49,2.9,Books,213
